Handle                                   ,Name                         ,Profile_Link
@CareersSCM                              ,Supply Chain Careers         ,https://twitter.com/CareersSCM
@OGS_2017                                ,Organic Grower Summit        ,https://twitter.com/OGS_2017
@ICTwerkt                                ,#ICTwerkt                    ,https://twitter.com/ICTwerkt
@couriersdeliver                         ,Couriers Delivery            ,https://twitter.com/couriersdeliver
@MoreLogistics                           ,More Logistics               ,https://twitter.com/MoreLogistics
@BERNAMAmremPR                           ,BERNAMA MREM PR              ,https://twitter.com/BERNAMAmremPR
@deniseroybalds                          ,Denise Roybal                ,https://twitter.com/deniseroybalds
@IndiaBusiness                           ,Business of India            ,https://twitter.com/IndiaBusiness
@Supply_Chain_N                          ,Supply Chain News            ,https://twitter.com/Supply_Chain_N
@JamesWMorrisJr1 @ marcuslemonis         ,James W Morris Jr            ,https://twitter.com/JamesWMorrisJr1 @ marcuslemonis
@erinWrobbins                            ,Erin W. Robbins              ,https://twitter.com/erinWrobbins
@tryonsolutions                          ,Tryon Solutions              ,https://twitter.com/tryonsolutions
@LondonEDC                               ,London EconDev               ,https://twitter.com/LondonEDC
@SuzanneGuinn                            ,Suzanne Guinn                ,https://twitter.com/SuzanneGuinn
@ClipperCreek                            ,"ClipperCreek, Inc."         ,https://twitter.com/ClipperCreek
@AIEcontractors @ SmartLiveWork          ,Electricians' skills         ,https://twitter.com/AIEcontractors @ SmartLiveWork
@SumpapLogistics                         ,Sumpap Logistics             ,https://twitter.com/SumpapLogistics
@nwcc_india                              ,nwcc india                   ,https://twitter.com/nwcc_india
@mavericneo                              ,Maveric                      ,https://twitter.com/mavericneo
@WTDWisepower                            ,Wisepower-WTDchina           ,https://twitter.com/WTDWisepower
@AccentureHealth                         ,Accenture Health             ,https://twitter.com/AccentureHealth
@deoinfracon                             ,Deo Infracon                 ,https://twitter.com/deoinfracon
@FDBexpo                                 ,FDB EXPO                     ,https://twitter.com/FDBexpo
@thomas_nephew                           ,Thomas Neveu                 ,https://twitter.com/thomas_nephew
@DAHER_official                          ,Daher                        ,https://twitter.com/DAHER_official
@TVILogistics                            ,TVI Logistics                ,https://twitter.com/TVILogistics
@BNSFLogistics                           ,BNSF Logistics               ,https://twitter.com/BNSFLogistics
@OilGuruWebsite                          ,Oil Guru                     ,https://twitter.com/OilGuruWebsite
@WebDesign_AU                            ,WebDesignAustralia           ,https://twitter.com/WebDesign_AU
@HalaSCS                                 ,Hala SCS                     ,https://twitter.com/HalaSCS
@reachaffaq                              ,Affaque                      ,https://twitter.com/reachaffaq
@Rgf49er                                 ,Ronald Fuentes               ,https://twitter.com/Rgf49er
@amjohnson739415 @ ALM_Contracts         ,Anne Marie Johnson           ,https://twitter.com/amjohnson739415 @ ALM_Contracts
@eDeJesus357                             ,Enrique DeJesus              ,https://twitter.com/eDeJesus357
@nethabi @ AyanaInnovative               ,nthabiseng                   ,https://twitter.com/nethabi @ AyanaInnovative
@SixStatCom                              ,SixStat                      ,https://twitter.com/SixStatCom
@Kammacplc                               ,Kammacplc                    ,https://twitter.com/Kammacplc
@lownfr @ LukeVernon                     ,ollie                        ,https://twitter.com/lownfr @ LukeVernon
@PerfectPoint_LC                         ,Perfect Point                ,https://twitter.com/PerfectPoint_LC
@DXBwholesale                            ,Dubai Wholesale City         ,https://twitter.com/DXBwholesale
@ulfatgee1998                            ,muhammad ulfat               ,https://twitter.com/ulfatgee1998
@jobstairs_jobs                          ,Stellenangebote Jobs         ,https://twitter.com/jobstairs_jobs
@nikoswal                                ,Nikhil Oswal Pune            ,https://twitter.com/nikoswal
@Logistics_Show                          ,Global Logistic Show         ,https://twitter.com/Logistics_Show
@ISCEA                                   ,ISCEA                        ,https://twitter.com/ISCEA
@Damco                                   ,Damco                        ,https://twitter.com/Damco
@esspl2013                               ,ESSPL                        ,https://twitter.com/esspl2013
@DCSCInc                                 ,DCSC Inc.                    ,https://twitter.com/DCSCInc
@rmalhotra1                              ,Raman Malhotra               ,https://twitter.com/rmalhotra1
@GenDyn_IT                               ,General Dynamics IT          ,https://twitter.com/GenDyn_IT
@MyNeth_com                              ,MyNeth                       ,https://twitter.com/MyNeth_com
@NooshInc                                ,Noosh                        ,https://twitter.com/NooshInc
@supplychain                             ,Supply Chain                 ,https://twitter.com/supplychain
@SupplyChainNtwk                         ,Supply Chain Network         ,https://twitter.com/SupplyChainNtwk
@DXCAnalytics                            ,DXC Analytics                ,https://twitter.com/DXCAnalytics
@VishalTx                                ,Vishal Kumar                 ,https://twitter.com/VishalTx
@SCMOracle                               ,Oracle Supply Chain          ,https://twitter.com/SCMOracle
@OpenText                                ,OpenText                     ,https://twitter.com/OpenText
@KellyLynnMc                             ,Kelly McFalls                ,https://twitter.com/KellyLynnMc
@laurapedia                              ,Marie Hubbard                ,https://twitter.com/laurapedia
@LogisticsMatter                         ,Martijn Graat                ,https://twitter.com/LogisticsMatter
@APICSFoxRiverIL                         ,APICS Fox River IL           ,https://twitter.com/APICSFoxRiverIL
@KaiyaLee                                ,"Kaiya Iverson, CSCP"        ,https://twitter.com/KaiyaLee
@DeploymentMX                            ,Octavio Rdz ♔♕♖♗♘♙           ,https://twitter.com/DeploymentMX
@tmj_ash_mgmt                            ,TMJ-ASH Mgmt. Jobs           ,https://twitter.com/tmj_ash_mgmt
                                         ,Ken Bodnar                   ,https://twitter.com/ArtofWarm
                                         ,Nptel                        ,https://twitter.com/nptelindia
                                         ,SR Supply Chain              ,https://twitter.com/SRSupplyChain
                                         ,Hope Bastine                 ,https://twitter.com/FPWellbeing
                                         ,Bizintel360                  ,https://twitter.com/BizIntel360
                                         ,SupplyChainAnalytics         ,https://twitter.com/scafreddy37 @ ipfconline1
                                         ,Dennis Gorelik               ,https://twitter.com/searchresume
                                         ,metasfresh                   ,https://twitter.com/metasfresh
                                         ,ISCEA India SCNext SCTech2018,https://twitter.com/SCNextIndia
                                         ,Water and Water              ,https://twitter.com/WaterWavy
                                         ,Duane Wilson 🤷‍♂️           ,https://twitter.com/HelloDuane
                                         ,Nicolai Wadstrom             ,https://twitter.com/nicolaiwadstrom
                                         ,RMMT Enterprises Del         ,https://twitter.com/rmmtenterprises
                                         ,BigRiverSolutions            ,https://twitter.com/BigRiverSolutns
                                         ,Emcien                       ,https://twitter.com/Emcien
                                         ,Georgia Halston              ,https://twitter.com/georgiahalston
                                         ,Talent Analytics             ,https://twitter.com/TalentAnalytics
                                         ,BSD Insight                  ,https://twitter.com/bsdinsight
                                         ,Felipe Blanco                ,https://twitter.com/foblanco
                                         ,Wojciech Filipkowski         ,https://twitter.com/fwojtek
                                         ,Data Science                 ,https://twitter.com/_Data_Science_
                                         ,Chiara Pensato               ,https://twitter.com/ChiaraPensato
                                         ,Zuzu: AI Assistant           ,https://twitter.com/ZuzuDotAI
                                         ,Mandy Parmenter              ,https://twitter.com/mandypar
                                         ,John Mannisi                 ,https://twitter.com/JMannisi
                                         ,Data Science                 ,https://twitter.com/dt_science
                                         ,Christophe Tricot            ,https://twitter.com/ctricot
                                         ,Langton Chinogwenya          ,https://twitter.com/chinos_lang
